"continent","location","date","population","new_vaccinations"
"Asia","Afghanistan","12/24/23","41128772",NULL
"Asia","Afghanistan","12/25/20","41128772",NULL
"Asia","Afghanistan","12/25/21","41128772",NULL
"Asia","Afghanistan","12/25/22","41128772",NULL
"Asia","Afghanistan","12/25/23","41128772",NULL
"Asia","Afghanistan","12/26/20","41128772",NULL
"Asia","Afghanistan","12/26/21","41128772",NULL
"Asia","Afghanistan","12/26/22","41128772",NULL
"Asia","Afghanistan","12/26/23","41128772",NULL
"Asia","Afghanistan","12/27/20","41128772",NULL
"Asia","Afghanistan","12/27/21","41128772",NULL
"Asia","Afghanistan","12/27/22","41128772",NULL
"Asia","Afghanistan","12/27/23","41128772",NULL
"Asia","Afghanistan","12/28/20","41128772",NULL
"Asia","Afghanistan","12/28/21","41128772",NULL
"Asia","Afghanistan","12/28/22","41128772",NULL
"Asia","Afghanistan","12/28/23","41128772",NULL
"Asia","Afghanistan","12/29/20","41128772",NULL
"Asia","Afghanistan","12/29/21","41128772",NULL
"Asia","Afghanistan","12/29/22","41128772",NULL
"Asia","Afghanistan","12/29/23","41128772",NULL
"Asia","Afghanistan","12/3/20","41128772",NULL
"Asia","Afghanistan","12/3/21","41128772",NULL
"Asia","Afghanistan","12/3/22","41128772",NULL
"Asia","Afghanistan","12/3/23","41128772",NULL
"Asia","Afghanistan","12/30/20","41128772",NULL
"Asia","Afghanistan","12/30/21","41128772",NULL
"Asia","Afghanistan","12/30/22","41128772",NULL
"Asia","Afghanistan","12/30/23","41128772",NULL
"Asia","Afghanistan","12/31/20","41128772",NULL
"Asia","Afghanistan","12/31/21","41128772",NULL
"Asia","Afghanistan","12/31/22","41128772",NULL
"Asia","Afghanistan","12/31/23","41128772",NULL
"Asia","Afghanistan","12/4/20","41128772",NULL
"Asia","Afghanistan","12/4/21","41128772",NULL
"Asia","Afghanistan","12/4/22","41128772",NULL
"Asia","Afghanistan","12/4/23","41128772",NULL
"Asia","Afghanistan","12/5/20","41128772",NULL
"Asia","Afghanistan","12/5/21","41128772",NULL
"Asia","Afghanistan","12/5/22","41128772",NULL
"Asia","Afghanistan","12/5/23","41128772",NULL
"Asia","Afghanistan","12/6/20","41128772",NULL
"Asia","Afghanistan","12/6/21","41128772",NULL
"Asia","Afghanistan","12/6/22","41128772",NULL
"Asia","Afghanistan","12/6/23","41128772",NULL
"Asia","Afghanistan","12/7/20","41128772",NULL
"Asia","Afghanistan","12/7/21","41128772",NULL
"Asia","Afghanistan","12/7/22","41128772",NULL
"Asia","Afghanistan","12/7/23","41128772",NULL
"Asia","Afghanistan","12/8/20","41128772",NULL
"Asia","Afghanistan","12/8/21","41128772",NULL
"Asia","Afghanistan","12/8/22","41128772",NULL
"Asia","Afghanistan","12/8/23","41128772",NULL
"Asia","Afghanistan","12/9/20","41128772",NULL
"Asia","Afghanistan","12/9/21","41128772",NULL
"Asia","Afghanistan","12/9/22","41128772",NULL
"Asia","Afghanistan","12/9/23","41128772",NULL
"Asia","Afghanistan","2/1/20","41128772",NULL
"Asia","Afghanistan","2/1/21","41128772",NULL
"Asia","Afghanistan","2/1/22","41128772",NULL
"Asia","Afghanistan","2/1/23","41128772",NULL
"Asia","Afghanistan","2/1/24","41128772",NULL
"Asia","Afghanistan","2/10/20","41128772",NULL
"Asia","Afghanistan","2/10/21","41128772",NULL
"Asia","Afghanistan","2/10/22","41128772",NULL
"Asia","Afghanistan","2/10/23","41128772",NULL
"Asia","Afghanistan","2/10/24","41128772",NULL
"Asia","Afghanistan","2/11/20","41128772",NULL
"Asia","Afghanistan","2/11/21","41128772",NULL
"Asia","Afghanistan","2/11/22","41128772",NULL
"Asia","Afghanistan","2/11/23","41128772",NULL
"Asia","Afghanistan","2/11/24","41128772",NULL
