"continent","location","date","population","new_vaccinations","rollingpeoplevaccinated","percentage_vaccinated"
"Africa","Cote d'Ivoire","2021-08-14","28160548","8985","1542399","5.477162589307566"
"Africa","Cote d'Ivoire","2021-07-16","28160548","9126","1268231","4.503573581025483"
"Africa","Cote d'Ivoire","2021-09-06","28160548","9434","2262792","8.035326585263896"
"Africa","Cote d'Ivoire","2021-07-08","28160548","9877","1447393","5.139789893293269"
"Africa","Cote d'Ivoire","2021-05-01","28160548","9944","696817","2.4744440342567198"
"Africa","Cote d'Ivoire","2021-06-15","28160548","10101","1109328","3.9392983403590014"
"Africa","Cote d'Ivoire","2021-05-09","28160548","10322","1046316","3.715538490231085"
"Africa","Cote d'Ivoire","2021-07-07","28160548","10341","1437516","5.10471600197553"
"Africa","Cote d'Ivoire","2021-07-03","28160548","10683","1370378","4.86630444833673"
"Africa","Cote d'Ivoire","2021-08-20","28160548","10732","1575574","5.5949692456268965"
"Africa","Cote d'Ivoire","2021-07-01","28160548","10926","1241775","4.40962654561978"
"Africa","Cote d'Ivoire","2021-06-12","28160548","11332","1090903","3.873869926110813"
"Africa","Cote d'Ivoire","2021-08-01","28160548","11654","1474741","5.236904480694054"
"Africa","Cote d'Ivoire","2021-05-12","28160548","11738","726715","2.580613843168109"
"Africa","Cote d'Ivoire","2021-08-13","28160548","11781","1533414","5.445256249984908"
"Africa","Cote d'Ivoire","2021-06-02","28160548","11809","1140678","4.050624298930546"
"Africa","Cote d'Ivoire","2021-08-24","28160548","12013","1599397","5.679566320939493"
"Africa","Cote d'Ivoire","2021-06-03","28160548","12016","1172534","4.163747097535176"
"Africa","Cote d'Ivoire","2021-06-11","28160548","12446","1079571","3.83362923193114"
"Africa","Cote d'Ivoire","2021-07-02","28160548","12584","1295200","4.599342313935084"
"Africa","Cote d'Ivoire","2021-09-05","28160548","12607","2253358","8.001825816741919"
"Africa","Cote d'Ivoire","2021-05-16","28160548","12773","767971","2.7271166740079065"
"Africa","Cote d'Ivoire","2021-05-23","28160548","13133","924604","3.283330991996321"
"Africa","Cote d'Ivoire","2021-08-12","28160548","13473","1521633","5.403421126605917"
"Africa","Cote d'Ivoire","2021-05-11","28160548","13767","714977","2.5389314156812572"
"Africa","Cote d'Ivoire","2021-07-06","28160548","13856","1427175","5.0679944154495855"
"Africa","Cote d'Ivoire","2021-09-20","28160548","13961","2022131","7.180723187631149"
"Africa","Cote d'Ivoire","2021-09-27","28160548","13997","2167395","7.6965654219513056"
"Africa","Cote d'Ivoire","2021-05-05","28160548","14191","981169","3.4841971115050745"
"Africa","Cote d'Ivoire","2021-05-04","28160548","14882","966978","3.4338039160317475"
"Africa","Cote d'Ivoire","2021-07-30","28160548","15219","1385597","4.92034814095237"
"Africa","Cote d'Ivoire","2021-07-09","28160548","15694","1463087","5.195520342856964"
"Africa","Cote d'Ivoire","2021-07-29","28160548","15737","1359695","4.828368396808187"
"Africa","Cote d'Ivoire","2021-08-11","28160548","15896","1508160","5.355577597424595"
"Africa","Cote d'Ivoire","2021-07-28","28160548","15912","1343958","4.772485251352353"
"Africa","Cote d'Ivoire","2021-09-07","28160548","15918","2278710","8.091852473893619"
"Africa","Cote d'Ivoire","2021-05-08","28160548","16570","1035994","3.678884373983063"
"Africa","Cote d'Ivoire","2021-09-01","28160548","16570","1789252","6.353754195408413"
"Africa","Cote d'Ivoire","2021-08-07","28160548","17287","1763045","6.260691375750216"
"Africa","Cote d'Ivoire","2021-05-06","28160548","17518","998687","3.5464047077492955"
"Africa","Cote d'Ivoire","2021-08-10","28160548","17523","1492264","5.299129832274571"
"Africa","Cote d'Ivoire","2021-09-04","28160548","17546","2240751","7.957057511806943"
"Africa","Cote d'Ivoire","2021-07-31","28160548","17939","1403536","4.984050736512656"
"Africa","Cote d'Ivoire","2021-06-09","28160548","18473","1230849","4.3708275847472855"
"Africa","Cote d'Ivoire","2021-06-10","28160548","18595","1067125","3.789432648824874"
